Pop	Latitude	Longitude
OTS01	46.170	-123.862
OTS02	46.513	-122.635
OTS03	46.017	-122.733
OTS04	46.513	-122.635
OTS05	46.261	-123.298
OTS06	45.953	-122.584
OTS07	45.867	-122.724
OTS08	45.563	-122.395
OTS09	44.117	-123.086
OTS10	44.697	-122.983
OTS11	45.563	-122.395
OTS12	45.744	-121.525
OTS13	45.728	-121.545
OTS14	45.710	-121.270
OTS15	44.764	-121.238
OTS16	44.861	-121.244
OTS17	44.760	-119.650
OTS18	44.659	-118.672
OTS19	44.932	-118.447
OTS20	46.976	-121.158
OTS21	47.178	-120.999
OTS22	48.476	-120.187
OTS23	45.722	-121.641
OTS24	47.616	-120.723
OTS25	47.696	-120.321
OTS26	46.529	-118.145
OTS27	45.956	-117.726
OTS28	45.546	-117.487
OTS29	45.304	-117.868
OTS30	45.490	-116.804
OTS31	46.275	-115.775
OTS32	45.817	-115.528
OTS33	46.514	-114.677
OTS34	45.353	-116.396
OTS35	44.972	-115.734
OTS36	44.897	-115.494
OTS37	45.256	-115.897
OTS38	45.352	-115.168
OTS39	45.144	-115.065
OTS40	45.147	-115.307
OTS41	44.890	-114.716
OTS42	44.684	-114.748
OTS43	44.551	-115.303
OTS44	44.447	-115.233
OTS45	44.365	-115.197
OTS46	45.420	-113.995
OTS47	44.869	-113.625
OTS48	44.688	-114.043
OTS49	44.114	-114.430
OTS50	44.057	-114.847
OTS51	44.355	-114.735
OTS52	44.218	-114.939
OTS53	44.057	-114.847
OTS54	45.257	-121.039
OTS55	46.312	-119.473
OTS56	46.713	-119.481
OTS57	47.542	-120.559
OTS58	47.696	-120.321
OTS59	48.296	-120.084
OTS60	46.589	-118.219
OTS61	46.502	-116.363
